Name,Property_Type,Bedrooms1,Baths,Balcony,City,Location,total_sqft,Price_per_SQFT,Price
Swami Sankul,Flat,1,2,No,Pune,"Ganesh Peth, Pune",480,6250,3000000
Dynamic Dynamic Linea,Flat,1,3,Yes,Pune,"Indira Nagar, Undri,Pune",950,6320,6000000
Setpal Palazzo,Flat,2,3,No,Pune,"Tukaram Nagar, Talegaon Dabhade,Pune",1070,3740,4000000
Eco Hide Park,Flat,1,2,Yes,Pune,"Kalubai Nagar, Wagholi,Pune",500,6400,3200000
DK Vakratund Heights,Flat,1,2,No,Pune,"Sant Nagar, Lohegaon,Pune",550,3000,1650000
Namoh Shine City,Flat,1,2,No,Pune,"Ganesh Nagar Chikhali, Chikhali,Pune",630,5710,3600000
Laxmi Sparsh,Independent House,2,3,Yes,Pune,"Deshmukhwadi, Shivane,Pune",1325,5430,7200000
Radha-Krishna Residency,Flat,2,3,No,Pune,"Nimbaj Nagar, Anand Nagar,Pune",815,5150,4200000
Five Elements Shubharambh,Flat,1,2,No,Pune,"Chikhali, Pune",650,5540,3600000
Mantra Moments,Flat,1,2,No,Pune,"Tupe Vasti, Moshi,Pune",550,7090,3900000
Tanish Srushti Phase III,Flat,2,2,Yes,Pune,"Alandi, Pune",717,4740,3400000
 Vaikar Heights,Flat,1,2,Yes,Pune,"Kasba Peth, Pune",440,6700,2950000
Aishwaryam Hamara,Flat,1,2,Yes,Pune,"MIDC, Moshi,Pune",530,5090,2700000
RadhaNagari Housing Complex,Flat,2,3,Yes,Pune,"Sadgurunagar, Bhosari,Pune",818,4890,4000000
Kundan Gulmarg Apartment,Flat,1,2,Yes,Pune,"Mohan Nagar Co-Op Society, Baner,Pune",450,7780,3500000
 Krishna Sai CHS,Flat,2,2,No,Pune,"Yashwant Nagar, Talegaon Dabhade,Pune",766,3520,2700000
Prerna Society,Flat,1,2,Yes,Pune,"Sambhajinagar, Chinchwad,Pune",650,5850,3800000
Anand Ashray,Flat,1,2,Yes,Pune,"Dighi, Pune",571,5950,3400000
Temple Tower,Flat,3,3,Yes,Pune,"Meeta Nagar, Kondhwa,Pune",1300,2850,3700000
xrbia township,Flat,2,2,No,Pune,"Nerhe, Pune",512,4490,2300000
Shyama Wisteria,Flat,1,2,Yes,Pune,"Sahyog Nagar, Chikhali,Pune",635,3620,2300000
Ashanand Ashanand Residency,Flat,1,2,Yes,Pune,"Rajgurunagar, Pune",625,4160,2600000
Aishwaryam Courtyard,Flat,1,2,Yes,Pune,"Newale Vasti, Chikhali,Pune",692,5350,3700000
Saptagiri Heights,Flat,1,2,No,Pune,"Keshav Nagar, Pune",650,4770,3100000
Oxygen Valley,Flat,2,2,No,Pune,"Narhe, Pune",575,5040,2900000
Kalaapi Cira,Flat,2,3,Yes,Pune,"Pirangut, Pune",910,5380,4900000
Matoshree Heights,Flat,1,2,Yes,Pune,"Vijay Nagar, Dighi,Pune",540,4810,2600000
swapnapurti phase 2,Flat,2,2,No,Pune,"Pimpri Gaon, Pimpri,Pune",739,6760,5000000
ARV Newtown Phase III,Flat,3,3,No,Pune,"Pisoli, Pune",1310,4580,6000000
Kumar Pinnacle,Flat,1,2,No,Pune,"Sangamvadi, Pune",580,9310,5400000
Malhar Pride,Flat,1,2,No,Pune,"Narhe, Pune",607,4940,3000000
Tulja Tulja Bhawani Complex,Flat,1,2,Yes,Pune,"Defence Area, Pimple Gurav,Pune",442,7240,3200000
Kushal Vatika Phase II,Flat,3,3,No,Pune,"Loni Kalbhor, Pune",1290,5430,7000000
Parmar Rio Vista,Flat,2,3,Yes,Pune,"Talegaon Dabhade, Pune",1010,4160,4200000
Essen Aishwaryam Courtyard 2,Flat,1,2,No,Pune,"Newale Vasti, Chikhali,Pune",670,5220,3500000
Sathe Complex,Flat,1,2,Yes,Pune,"Sadar Bazaar, Pune",600,6670,4000000
Swami Prasad Apartment,Flat,1,3,Yes,Pune,"Mandai, Shukrawar Peth,Pune",900,7220,6500000
Prajol Aashiyana,Flat,1,2,No,Pune,"Hindustan Antibiotics Colony, Pimpri,Pune",580,5340,3100000
Sanket Residency,Flat,1,2,Yes,Pune,"Patil Nagar, Pune",570,7370,4200000
Vinayak Gandharva Excellence,Flat,1,2,Yes,Pune,"Tupe Vasti, Moshi,Pune",662,5590,3700000
 Ganesh Angaan,Independent House,2,3,Yes,Pune,"Mathade Wasti, Lohegaon,Pune",850,7060,6000000
Sarthak Residency,Flat,1,2,Yes,Pune,"Siddhartha Nagar, Wagholi,Pune",488,4510,2200000
Xrbia Abode,Flat,2,2,Yes,Pune,"Jambhul, Pune",800,6250,5000000
Dattakrupa Apartments,Flat,1,2,No,Pune,"Budhwar Peth, Pune",505,8910,4500000
Enerrgia Skyi Star Towers Phase I,Flat,3,3,No,Pune,"Bhukum, Pune",1040,5000,5200000
Majestique Aqua Phase I,Flat,1,1,No,Pune,"Fursungi, Pune",370,4460,1650000
RKH Blessings B And C Building,Villa,2,3,Yes,Pune,"MIDC, Moshi,Pune",1250,6960,8700000
Christian Apartment,Flat,2,3,No,Pune,"Wakhari, Pune",850,5650,4800000
Tanish Orchid,Flat,2,3,No,Pune,"Alandi, Pune",870,6260,5450000
Kanchan Vrundavan,Flat,2,2,Yes,Pune,"Uruli Kanchan, Pune",768,3910,3000000
Vyankatesh 7 Galaxies,Flat,1,2,No,Pune,"Khese Wasti, Lohegaon,Pune",630,6350,4000000
Vishal Garden,Flat,2,2,No,Pune,"Chakan, Pune",725,4280,3100000
Dreams Nivara,Flat,2,2,No,Pune,"Uruli Kanchan, Pune",550,3640,2000000
Shubh Ganesh Nisarg Vatika,Flat,3,3,No,Pune,"Malinagar, Vadgaon,Pune",1370,4380,6000000
Sanskruti,Flat,1,2,No,Pune,"Chikhali, Pune",625,4320,2700000
DSK Vishwa,Flat,1,2,Yes,Pune,"DSK Vishwa, Dhayari,Pune",500,5400,2700000
Tirupati Balaji Nisarg,Flat,1,1,No,Pune,"Shiraswadi, Pune",260,3270,850000
Shree Gajanan Sanvy Residency,Flat,1,2,No,Pune,"Shikrapur, Pune",600,4170,2500000
yashwant nagar,Flat,2,3,No,Pune,"Deshmukhwadi, Shivane,Pune",972,5140,5000000
Tanish Unnati,Flat,1,2,Yes,Pune,"Charholi Kurd, Pune",520,3880,2020000
Unique Prospero,Flat,1,2,No,Pune,"Shivnagar Chirke Colony, Lohegaon,Pune",720,8470,6100000
Ambiance Residency,Flat,3,3,Yes,Pune,"Laxmi Colony, Hadapsar,Pune",1000,5000,5000000
Aapla ghar phase 2,Flat,1,2,No,Pune,"Sanaswadi, Pune",480,3130,1500000
Xrbia Abode,Flat,1,1,Yes,Pune,"Jambhul, Pune",363,4960,1800000
Namrata Ecocity 2,Flat,1,2,Yes,Pune,"Tukaram Nagar, Talegaon Dabhade,Pune",610,4430,2700000
Vishal Nagari,Flat,1,2,No,Pune,"Gokul Colony, Dighi,Pune",567,6000,3400000
Yuvraj Jijau sankul,Flat,1,2,Yes,Pune,"Mahadev Nagar, Dhayari,Pune",480,4170,2000000
Vastu Forest Nest Phase 1,Flat,2,2,No,Pune,"Shelgaon, Pune",750,2670,2000000
Pate Skyi Star Town Phase V,Flat,3,3,Yes,Pune,"Bhukum, Pune",830,6260,5200000
Hari Om Hari Om Residency,Flat,1,1,No,Pune,"Narhe, Pune",380,4340,1650000
Goel Ganga Legend A2 And B4,Flat,1,2,Yes,Pune,"Ram Nagar, Bavdhan,Pune",634,7100,4500000
Xrbia Riverfront,Flat,1,1,No,Pune,"Yashwant Nagar, Talegaon Dabhade,Pune",234,6410,1500000
Asha Shaama Estate Phase II,Flat,1,2,Yes,Pune,"Chovisawadi, Charholi Budruk,Pune",520,4810,2500000
Lotus Shobha Park,Flat,1,2,No,Pune,"Gandham Nagar, Yerawada,Pune",750,6270,4700000
Joyville Hadapsar Annexe Phase 11,Independent House,2,3,No,Pune,"Shewalewadi, Pune",1200,5000,6000000
Sai kunj,Flat,2,2,Yes,Pune,"Shastri Nagar, Kasarwadi,Pune",780,5770,4500000
Majestique Aqua Phase I,Flat,1,2,Yes,Pune,"Fursungi, Pune",643,4980,3200000
Jalan Eco Valley,Flat,2,2,No,Pune,"Kanhe, Pune",768,3250,2500000
Kadambari CHS,Flat,1,2,No,Pune,"Mahadev Nagar, Dhayari,Pune",568,4580,2600000
Dhanlaxmi Heights,Flat,1,1,Yes,Pune,"Manjari Khurd, Pune",275,4450,1225000
Xrbia Abode,Flat,2,2,Yes,Pune,"Jambhul, Pune",601,5320,3200000
Tanishq Vlasta ,Flat,1,2,No,Pune,"Alandi, Pune",481,6860,3300000
Goel Ganga Legend A4 And B1,Flat,3,3,Yes,Pune,"Ram Nagar, Bavdhan,Pune",1350,6670,9000000
Viijcon The Vivansaa Cellandine,Flat,3,3,Yes,Pune,"Kasarsai, Pune",1300,5380,7000000
Kalp Residency D Wing,Flat,2,3,Yes,Pune,"Chakan, Pune",875,4800,4200000
Residency,Flat,1,2,No,Pune,"Vikas Nagar, Vikas Nagar,Pune",550,11820,6500000
Siddhashila Eela,Flat,1,1,No,Pune,"Vishnu Dev Nagar, Punawale,Pune",375,6930,2600000
Ajit Yuthika Enclave,Flat,1,3,No,Pune,"Khadakwasla, Pune",1150,4830,5551000
Xrbia Abode,Flat,1,1,No,Pune,"Jambhul, Pune",370,3240,1200000
Anugraha Apartment,Flat,2,2,No,Pune,"Morwadi, Pune",750,8930,6700000
Aapurva Heights,Flat,1,2,Yes,Pune,"Ambegaon, Pune",500,5000,2500000
Sancheti Eves Garden,Flat,2,3,Yes,Pune,"Lonkar Nagar, Mundhwa,Pune",850,6120,5200000
Vastushodh Anandgram Wakhari,Flat,1,2,Yes,Pune,"Wakhari, Pune",500,2200,1100000
Playtor,Flat,1,1,Yes,Pune,"Ranjangaon, Pune",385,4670,1800000
Abhaydev Ayodhyapuram,Flat,1,2,No,Pune,"Talegaon Dhamdhere, Pune",550,3450,1900000
Ujwal Terraces,Flat,1,2,Yes,Pune,"Abasaheb Raikar Nagar, Dhayari,Pune",470,4890,2300000
Xrbia Abode,Flat,1,1,No,Pune,"Jambhul, Pune",275,5820,1600000
S K Apartments,Flat,1,1,No,Pune,"Narhe, Pune",380,4210,1600000
S K Apartments,Flat,1,1,No,Pune,"Narhe, Pune",380,4210,1600000
Tirupati Balaji Nisarg,Flat,2,2,No,Pune,"Shiraswadi, Pune",638,2350,1500000
Xrbia Abode,Flat,1,1,Yes,Pune,"Jambhul, Pune",363,5790,2100000
Om Residency,Flat,1,1,Yes,Pune,"Kirkatwadi, Pune",256,4690,1200000
Avon Vista Phase 1 And Phase 2,Flat,2,3,Yes,Pune,"Patil Nagar, Balewadi,Pune",1000,8500,8500000
Palash Sanskruti Residency,Flat,2,3,No,Pune,"Baramati, Pune",1113,4670,5200000
Mantra Magic,Flat,2,2,Yes,Pune,"Chimbali, Pune",640,4380,2800000
Utkarsha CHS,Flat,1,1,No,Pune,"Kirti Nagar, Vadgaon Budruk,Pune",328,3200,1050000
Kohinoor Abhimaan Homes,Flat,1,2,No,Pune,"Shirgaon, Pune",450,4890,2200000
Kumar Palaash,Flat,2,3,No,Pune,"Sainath Nagar, Wadgaon Sheri,Pune",1000,8000,8000000
Trinity Greens,Flat,2,3,Yes,Pune,"Bhumkar Nagar, Wakad,Pune",954,7500,7155000
Avani Nilay,Flat,1,2,No,Pune,"Vadhu Budruk, Pune",570,2720,1550000
Saarrthi Sinclair,Flat,1,2,No,Pune,"Warje Malwadi, Pune",550,9090,5000000
Dwarka Project 2,Flat,2,3,No,Pune,"Mahalunge Ingale, Pune",850,5880,5000000
Bora Park,Flat,1,2,Yes,Pune,"Shri Ram Colony, Pimple Saudagar,Pune",640,7030,4500000
Amit Astonia Royale,Flat,2,3,Yes,Pune,"Ambegaon Budruk, Pune",1059,7080,7500000
Gangadham Phase 2,Flat,1,2,No,Pune,"Gangadham Phase II, Ganga Dham,Pune",700,10000,7000000
Maple Aapla Ghar Lonikand,Flat,1,2,Yes,Pune,"Lonikand, Pune",650,4620,3000000
Nulife Phase 1,Flat,1,3,Yes,Pune,"Kamshet, Pune",910,7910,7200000
Namrata Happycity Varale,Flat,1,2,Yes,Pune,"Talegaon Dabhade, Pune",429,5590,2400000
Xrbia Abode,Flat,1,1,Yes,Pune,"Jambhul, Pune",300,5000,1500000
Pristine Purvrang Part 1,Flat,1,1,Yes,Pune,"Perne, Pune",370,4320,1600000
Lambodar Vasant Ganesh Vishwa,Flat,1,2,No,Pune,"Bavdhan, Pune",540,9630,5200000
Pristine Purvrang Part 1,Flat,2,2,No,Pune,"Perne, Pune",700,3500,2450000
Roshan One,Flat,1,1,No,Pune,"Bhamboli, Pune",370,4860,1800000
Anushree Astral Residency,Flat,1,2,No,Pune,"Punawale, Pune",587,6260,3675000
Kohinoor Abhimaan Homes,Flat,2,2,No,Pune,"Shirgaon, Pune",796,4140,3300000
Trimurti Nagar,Flat,1,2,Yes,Pune,"Bhekrai Nagar, Fursungi,Pune",800,4380,3500000
Triaa Prince Town,Flat,2,3,No,Pune,"Shikrapur, Pune",908,2750,2500000
Pristine Pristine Palms,Flat,1,2,Yes,Pune,"Bakori, Pune",627,2710,1700000
Om Sai Shiv Sai,Flat,1,1,No,Pune,"Wagholi, Pune",320,4840,1550000
Grace Grace Classic,Flat,1,2,No,Pune,"Guruwar Peth, Pune",424,6540,2775000
Wadkar Heights,Flat,1,2,Yes,Pune,"Wadaki, Pune",600,7500,4500000
Suyog Sadan,Flat,1,2,No,Pune,"Vishal Nagar, Pimple Nilakh,Pune",546,7330,4000000
Sara Orchids,Flat,2,3,Yes,Pune,"Chakan, Pune",1020,3730,3800000
Shobha Height,Flat,1,2,No,Pune,"Shivane, Pune",555,4500,2500000
Balaji Nisarg,Flat,2,2,Yes,Pune,"Shiraswadi, Pune",700,2570,1800000
Balaji Nisarg,Flat,1,2,No,Pune,"Shiraswadi, Pune",500,3000,1500000
Pride Purple Park Springs,Flat,3,3,Yes,Pune,"Lohegaon, Pune",1317,6230,8200000
Vastushodh Anandgram Wakhari,Flat,2,3,Yes,Pune,"Wakhari, Pune",1000,1600,1600000
Maple Aapla Ghar Ranjangaon,Flat,1,2,Yes,Pune,"Ranjangaon, Pune",443,3840,1700000
Shivleela Park,Flat,1,2,No,Pune,"Suresh Nagar, Fursungi,Pune",550,3820,2100000
Shivleela Park,Flat,1,2,No,Pune,"Suresh Nagar, Fursungi,Pune",690,2900,2000000
Skyi Star Town Phase V,Flat,3,3,No,Pune,"Lavale, ,Pune",1040,5770,6000000
Icon Windsor Apartments,Flat,1,2,No,Pune,"Shankar Kalat Nagar, Wakad,Pune",665,6920,4600000
Shree Rivera,Flat,1,2,No,Pune,"Mithila Nagari, Pimple Saudagar,Pune",720,8050,5800000
High Bliss,Flat,2,2,Yes,Pune,"Dhayari Village, Dhayari,Pune",700,4570,3200000
Kohinoor Abhimaan Homes,Flat,2,2,No,Pune,"Shirgaon, Pune",730,5480,4000000
Abhijeet Acropolis,Flat,2,3,No,Pune,"Uruli Kanchan, Pune",900,4720,4250000
Namrata Ecocity 2,Flat,2,3,No,Pune,"Talegaon Dabhade, Pune",951,3790,3600000
Tirupati Balaji Nisarg,Flat,1,1,No,Pune,"Wagholi, Pune",280,2500,700000
Ganesh Plaza,Flat,2,3,Yes,Pune,"Narhe, Pune",890,5060,4500000
A Square Janki Pride,Flat,1,2,No,Pune,"Yashwant Nagar, Talegaon Dabhade,Pune",593,3880,2300000
KUL Utsav,Flat,1,2,No,Pune,"Tyni Audyogic Wasahat, Kondhwa,Pune",427,4800,2050000
Tanish Srushti,Flat,1,2,No,Pune,"Alandi, Pune",600,4170,2500000
Yadgar Golden Nest,Flat,2,3,No,Pune,"Baramati, Pune",910,3850,3500000
Sara Sara City Phase 4,Flat,1,2,Yes,Pune,"Chakan, Pune",465,2580,1200000
Jagdish Agashe Sheetal Baug Society,Flat,1,2,No,Pune,"Sector No. 3, Bhosari,Pune",545,5500,3000000
Dwarka Sun Crest Phase II,Flat,2,3,Yes,Pune,"Rambagh Colony, Pimple Saudagar,Pune",950,8420,8000000
Swapna Nagari,Flat,2,3,No,Pune,"Saswad, Pune",922,3850,3550000
RKH Blessings B And C Building,Villa,2,3,Yes,Pune,"MIDC, Moshi,Pune",1200,7250,8700000
Sangam Apartment,Flat,1,2,Yes,Pune,"Kashewadi, Pune",600,5000,3000000
Paramount Eros,Flat,2,2,No,Pune,"Katrajnagar, Katraj,Pune",750,7330,5500000
River Residency,Flat,1,2,Yes,Pune,"Jadhav Wadi, Chikhali,Pune",577,5200,3000000
Suvidha Nisarg,Flat,1,2,No,Pune,"Khed Shivapur, Pune",685,3360,2300000
Krishna Kunj Apartment,Flat,2,2,No,Pune,"Netaji Nagar, Pimple Gurav,Pune",750,4670,3500000
Maple Aapla Ghar Shikrapur,Independent House,1,2,No,Pune,"Shikrapur, Pune",666,2250,1500000
Saffron Gatha Aarambh,Flat,1,2,No,Pune,"Dehu, Pune",600,5170,3100000
A K Surana Kamaldeep Gardens ,Flat,1,2,Yes,Pune,"Kondhwa, Pune",540,3520,1900000
Sheth Silver Park Society by Ashwin Sheth Group,Flat,2,3,No,Pune,"Ambegaon, Pune",900,3330,3000000
Xrbia,Flat,3,2,Yes,Pune,"Nerhe, Pune",750,3600,2700000
Calyx Vanalika,Flat,1,2,Yes,Pune,"Pirangut, Pune",580,3450,2000000
Saarrthi Sinclair,Flat,1,3,No,Pune,"Warje Malwadi, Pune",874,6410,5600000
Uday Glorious Park,Flat,1,2,No,Pune,"Gurudwara Colony, Nigdi,Pune",700,5710,4000000
 Bupali Apartment,Flat,2,3,Yes,Pune,"Ambegaon Budruk, Pune",900,3330,3000000
MD Global Heights,Flat,1,2,No,Pune,"Charholi Budruk, Pune",628,5250,3300000
Kolte Patil Life Republic Sector R3 3rd Avenue,Flat,1,2,Yes,Pune,"Marunji, Pune",610,6390,3900000
Balaji Casa Height,Flat,1,2,No,Pune,"Marunji, Pune",550,5450,3000000
Orchid Emerald,Flat,2,3,No,Pune,"District Center, Spine Road,Pune",945,10050,9500000
Rameshwar Yashobhoomi,Flat,2,3,No,Pune,"Hindustan Antibiotics Colony, Pimpri,Pune",838,5010,4200000
Shubham Siddhi,Flat,1,2,No,Pune,"Swaraj Nagari, Talegaon Dabhade,Pune",600,4500,2700000
Daya Apartment,Flat,1,2,No,Pune,"Ganga Nagar, Akurdi,Pune",420,5000,2100000
Daya Apartment,Flat,1,2,No,Pune,"Dattawadi, Akurdi,Pune",420,5240,2200000
Nirman Nadbramha Society,Flat,1,1,Yes,Pune,"Chaitanya Nagari, Warje,Pune",300,5000,1500000
DS Atulya Park Royale,Flat,1,2,No,Pune,"Dighi, Pune",613,5870,3600000
Shree Gurudatta Sai Siddhi Heights,Independent House,1,2,Yes,Pune,"Yashwant Nagar, Talegaon Dabhade,Pune",440,6360,2800000
 Hari Vijay Society,Flat,1,1,No,Pune,"Parvati Darshan, Pune",350,7140,2500000
Krishan Vihar,Flat,1,2,Yes,Pune,"Jadhav Nagar, Mundhwa,Pune",600,4170,2500000
Neeti Heritage,Flat,1,2,Yes,Pune,"Pirangut, Pune",689,4860,3350000
Shriyash Garden Apartment,Flat,1,2,No,Pune,"Mohan Nagar, Dhankawadi,Pune",525,3050,1600000
Raikar Shree Laxmi Vrindavan,Flat,1,2,No,Pune,"Mahadev Nagar, Dhayari,Pune",635,4330,2750000
Mahalaxmi Heights,Flat,1,2,No,Pune,"Sector No. 3, Bhosari,Pune",575,6090,3500000
Mahalaxmi Heights,Flat,1,2,Yes,Pune,"Sector No. 3, Bhosari,Pune",565,7080,4000000
Tanish Unnati,Flat,1,2,Yes,Pune,"Charholi Kurd, Pune",545,3670,2000000
MP Residency,Flat,2,3,Yes,Pune,"Marunji, Pune",1230,4880,6000000
Rajni Corner Apartment,Flat,1,2,Yes,Pune,"Vivek Nagar, Dhankawadi,Pune",550,5450,3000000
Kohinoor Latis,Flat,3,3,No,Pune,"Swaraj Nagari, Talegaon Dabhade,Pune",1290,4650,6000000
Kohinoor Begonia,Flat,2,2,No,Pune,"Talegaon Dabhade, Pune",775,3230,2500000
Gandhi Bafna Ayaan A Wing,Flat,1,2,Yes,Pune,"Nyati County, Mohammed Wadi,Pune",738,6100,4500000
Siddhivinayak Viision Woods,Flat,2,2,Yes,Pune,"Jambhul, Pune",639,3290,2100000
Jagdish Agashe Sheetal Baug Society,Flat,1,2,Yes,Pune,"Sector No. 3, Bhosari,Pune",545,5500,3000000
Sanskar Park,Flat,1,2,Yes,Pune,"Nandadeep Colony, Kalewadi,Pune",600,5830,3500000
Ustav,Flat,2,3,No,Pune,"Bhairavnath Nagar, Kirkatwadi,Pune",1080,3890,4200000
Siddhivinayak Phase I Vision City,Flat,4,3,Yes,Pune,"Yashwant Nagar, Talegaon Dabhade,Pune",1750,3600,6300000
Sarvesh Nakshtra Angan,Flat,3,3,No,Pune,"Pirangut, Pune",1260,5550,7000000
Mist Air,Flat,2,2,No,Pune,"Gorhe Bk., Pune",750,4670,3500000
Pass Madhuban,Flat,1,2,Yes,Pune,"Dhyarkar Wadi, Alandi,Pune",479,4170,2000000
Sahara Pearl,Flat,1,2,No,Pune,"Saswad, Pune",635,3940,2500000
Shivratna Image,Flat,1,1,Yes,Pune,"Benkar Nagar, Dhayari,Pune",330,4540,1500000
DS Sarita Sangam,Flat,1,2,No,Pune,"Shastri Nagar, Kasarwadi,Pune",703,7110,5000000
Dajikaka Gadgil Anant Shrishti,Flat,3,3,No,Pune,"Jambhul, Pune",978,4600,4500000
Tanish Bhakti,Flat,1,2,Yes,Pune,"Charholi Kurd, Pune",500,4400,2200000
Sunrise CHS,Flat,1,2,Yes,Pune,"Sector No. 3, Bhosari,Pune",450,4000,1800000
Anna PurnaSociety,Flat,1,1,No,Pune,"Wireless Colony, Aundh,Pune",350,8570,3000000
Majestique Aqua Phase I,Flat,1,1,No,Pune,"Fursungi, Pune",318,6130,1950000
Hari Om residency,Flat,1,1,No,Pune,"Narhe, Pune",300,5500,1650000
Gurukrupa,Flat,2,3,Yes,Pune,"Rajmata Jijau Colony, Chinchwad,Pune",1000,6000,6000000
S B Patil Gagangiri Sankul,Flat,1,2,No,Pune,"Dapodi, Pune",512,6640,3400000
Yugm Complex,Independent House,1,2,Yes,Pune,"Bibwewadi, Pune",550,7270,4000000
Manjri Greens 5,Flat,3,3,Yes,Pune,"Hadapsar, Pune",1500,6000,9000000
Shekhar Heights,Flat,2,2,Yes,Pune,"Shikrapur, Pune",669,3740,2500000
Laxmi Green County,Flat,1,2,No,Pune,"Kondhawe-Dhawade, Pune",555,5860,3250000
Akshay Apartment,Flat,1,2,No,Pune,"Narhe, Pune",427,3020,1290000
Saarrthi Swadesh,Flat,1,2,No,Pune,"Kanhe, Pune",450,5110,2300000
Renuka Tulsi,Independent House,1,3,No,Pune,"Sector 32 A, Nigdi,Pune",1350,7040,9500000
Akash Residency,Flat,1,2,Yes,Pune,"Narhe, Pune",427,3100,1325000
Pristine City,Flat,2,3,No,Pune,"Bakori, Pune",897,3290,2950000
Chaitanyanagari,Flat,2,3,No,Pune,"Chaitanya Nagari, Warje,Pune",890,6400,5700000
Ganeshpuri,Flat,1,2,Yes,Pune,"Warje Malwadi, Pune",481,2700,1300000
Saarrthi Swadesh,Flat,1,1,Yes,Pune,"Kanhe, Pune",350,6290,2200000
Gaurishankar Apartment,Flat,1,2,No,Pune,"Tanaji Nagar, Ambegaon Pathar,Pune",600,3670,2200000
Gaurishankar Apartment,Flat,1,2,Yes,Pune,"Tanaji Nagar, Ambegaon Pathar,Pune",600,3670,2200000
Shripati Niwas,Flat,1,1,No,Pune,"Ambegaon, Pune",359,2510,900000
Shripati Niwas,Flat,1,1,Yes,Pune,"Ambegaon, Pune",359,2510,900000
Dwarka City,Flat,2,3,Yes,Pune,"Mahalunge Ingale, Pune",852,3170,2700000
Rudra heights,Flat,1,2,Yes,Pune,"Narhe, Pune",475,3890,1850000
 Popular Colony Apartment,Flat,1,1,No,Pune,"Giridhar Nagar, Warje,Pune",355,6760,2400000
 Ganadhipati Apartment,Flat,1,2,No,Pune,"Sadashiv Peth, Pune",602,9970,6000000
Opel SquareHsg Soc,Flat,2,3,Yes,Pune,"Nana Peth, Rasta Peth,Pune",1000,8000,8000000
Balaji Buildcon ,Flat,1,2,No,Pune,"Narhe, Pune",640,4690,3000000
S S Orchid City Building A,Flat,2,3,No,Pune,"Jalochi, Pune",926,3780,3500000
Savitri Vihar Apartment,Flat,2,2,No,Pune,"Narhe, Pune",688,3420,2350000
Yash Ravi Park,Flat,2,3,No,Pune,"Chintamani Nagar, Hadapsar,Pune",877,5130,4500000
Akash Ganga,Independent House,3,2,Yes,Pune,"Ale, Pune",650,4150,2700000
Shanti Kunj Apartment,Flat,1,2,No,Pune,"Hadapsar Gaon, Hadapsar,Pune",699,4720,3300000
Vastushodh Urbangram Pirangut II Building F And H,Flat,3,3,Yes,Pune,"Pirangut, Pune",1139,3950,4500000
Shri Residency,Flat,1,2,Yes,Pune,"Uttam Nagar, Pune",450,4440,2000000
Pragati Apartment,Flat,1,1,No,Pune,"Bhawani Peth, Pune",380,10530,4000000
Mark Nirvana,Flat,1,2,Yes,Pune,"Kamshet, Pune",600,4170,2500000
Choice Goodwill Metropolis East Phase 1,Flat,1,2,No,Pune,"Vayusena Nagar, Lohegaon,Pune",570,5790,3300000
Opel SquareHsg Soc,Flat,3,3,Yes,Pune,"Nana Peth, Rasta Peth,Pune",1100,7270,8000000
Aapla ghar phase 2,Flat,1,2,Yes,Pune,"Ranjangaon, Pune",450,3780,1700000
Sanskruti Krushna Kunj,Flat,2,3,Yes,Pune,"Dehu, Pune",908,4740,4300000
Mittal Treedom Park,Flat,3,3,Yes,Pune,"Kalas, Pune",1278,7430,9500000
Sancheti Green Meadows,Flat,2,2,Yes,Pune,"Kamshet, Pune",766,6530,5000000
Shashitara Hills,Flat,1,2,Yes,Pune,"Vittalvadi, Hingne Khurd,Pune",567,7410,4200000
Ashoka Mews by Home Builders,Independent House,3,4,Yes,Pune,"Kondhwa Budruk, Pune",2200,1730,3800000
Xrbia Abode,Flat,1,1,Yes,Pune,"Jambhul, Pune",270,4070,1100000
Pavitra Angan,Flat,2,2,Yes,Pune,"Power Nagar, Thergaon,Pune",765,6540,5000000
Tanish Vatika,Flat,1,2,Yes,Pune,"Alandi, Pune",400,6500,2600000
Matoshri Apartment,Flat,1,1,No,Pune,"Rakshak Nagar, Kharadi,Pune",300,5000,1500000
Maple Aapla Ghar Lonikand,Flat,1,2,No,Pune,"Lonikand, Pune",645,3880,2500000
Samruddhi Apartment,Flat,1,1,No,Pune,"Kudalwadi Industrial Area, Chikhali,Pune",330,4540,1500000
Anandgram Talegaon Dhamdere,Flat,1,2,No,Pune,"Talegaon Dhamdhere, Pune",460,2500,1150000
Swami Park,Flat,1,2,Yes,Pune,"Daund, Pune",665,3010,2000000
Primary Pranam,Flat,2,2,Yes,Pune,"Talegaon Dhamdhere, Pune",572,3230,1850000
Aishwarya Heights,Flat,1,1,Yes,Pune,"Bhekrai Nagar, Fursungi,Pune",340,4410,1500000
Yash Platinum,Flat,1,2,Yes,Pune,"Dhayari Village, Dhayari,Pune",690,5220,3600000
Chaiytanya Hights,Flat,1,2,No,Pune,"Warje Malwadi, Pune",710,6060,4300000
Eiffel City,Flat,3,3,Yes,Pune,"Chakan, Pune",1332,3750,5000000
Aakash Hights,Flat,2,3,No,Pune,"Loni Kalbhor, Pune",830,4220,3500000
Xrbia Eiffel City Chakan Ph2,Flat,1,1,No,Pune,"Chakan, Pune",300,4330,1300000
Yash Sankul,Flat,2,3,Yes,Pune,"Mithila Nagari, Pimple Saudagar,Pune",962,8110,7800000
